phase_mark,source_marks,tracking_key,yoren_code,name_zh,attribute,stage,hp,deck_rule_limit,special_rules,interaction_flags,complexity,source_variant_count,collection_numbers,implemented_in_repo,implementation_status,backend_status,ui_status,ai_api_status,implemented_file,test_file,notes
H,H|G,P0960,P0960,海地鼠,水,基础,60,,,SELECT_POKEMON|SELECT_CARD|COIN_FLIP|SEARCH_OR_RECOVERY,medium,19,069/204|136/SV-P|130/127|062/SV-P|053/SV-P|039/128|038/127|027/129|007/SV-P,no,todo,todo,todo,todo,,,
H,H|G,P0964,P0964,海豚侠,水,1阶进化,150,,,SELECT_POKEMON|SELECT_CARD|COIN_FLIP|DAMAGE_COUNTERS|SWITCH|SEARCH_OR_RECOVERY,high,13,071/204|063/207|132/129|100/052|067/052|030/129|021/052,no,todo,todo,todo,todo,,,
H,H,Y1448,Y1448,海豚侠ex,水,1阶进化,340,,POKEMON_EX,,low,2,219/207|064/207,no,todo,todo,not_needed,todo,,,
H,H|G|F,P686,P686,好啦鱿,恶,基础,60,,,SELECT_POKEMON|SELECT_CARD|COIN_FLIP|SEARCH_OR_RECOVERY,medium,9,131/207|087/129|153/S-P|059/127,no,todo,todo,todo,todo,,,
H,H|G,P740,P740,好胜毛蟹,水,1阶进化,160,,,,low,6,059/207|075/130,no,todo,todo,not_needed,not_needed,,,
H,H|G,P739,P739,好胜蟹,斗,基础,90,,,,low,6,115/207|074/130,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H|G,P0975,P0975,浩大鲸,水,1阶进化,180,,,COIN_FLIP|DAMAGE_COUNTERS|ATTACH_ENERGY,medium,14,066/207|039/130|037/129|035/128|008/064,no,todo,todo,todo,todo,,,
H,H|F,P450,P450,河马兽,斗,1阶进化,160,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|DAMAGE_COUNTERS|ATTACH_ENERGY,high,4,191/SV-P|065/153,no,todo,todo,todo,todo,,,
H,H|G|F,P214,P214,赫拉克罗斯,草,基础,120,,,COIN_FLIP|SPECIAL_CONDITION,medium,11,009/204|019/SV-P|002/127|001/128|004/153,no,todo,todo,todo,todo,,,
H,H|G,P229,P229,黑鲁加,火,1阶进化,120,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SPECIAL_CONDITION,high,15,032/207|082/129|022/127|05 06/07|05 05/07|05 04/07|05 03/07|05 02/07|05 01/07,no,todo,todo,todo,todo,,,
H,H,P812,P812,轰擂金刚猩,草,2阶进化,180,,,,low,3,022/207,no,todo,todo,not_needed,not_needed,,,
H,H,P1005,P1005,轰鸣月,恶,基础,140,,ANCIENT,,low,3,143/204,no,todo,todo,todo,todo,,,
H,H|G,P0936,P0936,红莲铠骑,火,1阶进化,140,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SPECIAL_CONDITION,high,13,040/207|065/052|030/130|028/127|023/SV-P|017/052|015/024,no,todo,todo,todo,todo,,,
H,H|G,Y1333,Y1333,红莲铠骑ex,火,1阶进化,260,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,high,3,011/066|139/129|021/129,no,todo,todo,todo,todo,,,
H,H|G,P0985,P0985,吼叫尾,超,基础,90,,ANCIENT,DAMAGE_COUNTERS,medium,8,107/204|104/052|065/128|011/033,no,todo,todo,todo,todo,,,
H,H,Y1394,Y1394,吼叫尾ex,超,基础,190,,POKEMON_EX|ANCIENT,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,high,2,221/204|108/204,no,todo,todo,todo,todo,,,
H,H,P0065,P0065,胡地,超,2阶进化,140,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|DAMAGE_COUNTERS|ATTACH_ENERGY|SPECIAL_CONDITION,high,3,075/207,no,todo,todo,todo,todo,,,
H,H|G,P669,P669,花蓓蓓,超,基础,40,,,,low,9,185/SV-P|099/204|056/127,no,todo,todo,todo,todo,,,
H,H|G,P671,P671,花洁夫人,超,2阶进化,140,,,SELECT_POKEMON|SELECT_CARD|COIN_FLIP|SWITCH|SPECIAL_CONDITION,high,9,187/SV-P|101/204|058/127,no,todo,todo,todo,todo,,,
H,H|G,P670,P670,花叶蒂,超,1阶进化,70,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|SEARCH_OR_RECOVERY,high,9,186/SV-P|100/204|057/127,no,todo,todo,todo,todo,,,
H,H|F,P725,P725,火斑喵,火,基础,70,,,COIN_FLIP|DAMAGE_COUNTERS|SPECIAL_CONDITION,medium,15,175/SV-P|045/204|20 07/07|20 06/07|20 05/07|20 04/07|20 03/07|20 02/07|20 01/07|050/131,no,todo,todo,todo,todo,,,
H,H|G|F,P637,P637,火神蛾,火,1阶进化,140,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,medium,8,037/207|026/130|042/131,no,todo,todo,todo,todo,,,
H,H,Y1385,Y1385,火焰鸡ex,火,2阶进化,320,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,high,1,038/204,no,todo,todo,todo,todo,,,
H,H,P255,P255,火稚鸡,火,基础,60,,,,low,3,036/204,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H|G,P385,P385,基拉祈,钢,基础,80,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|DAMAGE_COUNTERS|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,7,039/066|215/SV-P|092/129|013/033|007/033,no,todo,todo,todo,todo,,,
H,H|G,P113,P113,吉利蛋,无色,基础,120,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,15,164/207|113/151|100/128|15 05/05|15 04/05|15 03/05|15 02/05|15 01/05|001/023,no,todo,todo,todo,todo,,,
H,H,P1016,P1016,吉雉鸡,超,基础,120,,,COIN_FLIP|ATTACH_ENERGY,medium,3,095/207,no,todo,todo,todo,todo,,,
H,H|G,Y1247,Y1247,甲贺忍蛙ex,斗,2阶进化,310,,POKEMON_EX|TERA,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|DAMAGE_COUNTERS|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,9,242/204|223/204|123/204|017/066|125/052|030/128|019/052|009/058,no,todo,todo,todo,todo,,,
H,H|G,P118,P118,角金鱼,水,基础,50,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY,high,7,050/207|118/151|065/SV-P,no,todo,todo,todo,todo,,,
H,H|F,P275,P275,狡猾天狗,草,2阶进化,150,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SWITCH|SEARCH_OR_RECOVERY,high,6,205/204|012/204|004/072,no,todo,todo,todo,todo,,,
H,H|F,P807,P807,捷拉奥拉,雷,基础,120,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY|SPECIAL_CONDITION,high,7,086/204|073/131|050/207|050/177,no,todo,todo,todo,todo,,,
H,H|F,P375,P375,金属怪,钢,1阶进化,100,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,6,147/204|185/S-P|084/131,no,todo,todo,todo,todo,,,
H,H|G,P119,P119,金鱼王,水,1阶进化,90,,,COIN_FLIP|ATTACH_ENERGY,medium,6,051/207|119/151,no,todo,todo,todo,todo,,,
H,H|G,P0970,P0970,晶光花,斗,1阶进化,130,,,COIN_FLIP|DAMAGE_COUNTERS|SPECIAL_CONDITION,medium,6,118/207|079/130,no,todo,todo,todo,todo,,,
H,H|G,P0969,P0969,晶光芽,斗,基础,60,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,high,12,117/207|106/SV-P|084/052|078/130|072/129|041/052,no,todo,todo,todo,todo,,,
H,H,P724,P724,狙射树枭,草,2阶进化,150,,,SEARCH_OR_RECOVERY,low,3,016/207,no,todo,todo,todo,todo,,,
H,H|G|F,P624,P624,驹刀小兵,恶,基础,70,,,COIN_FLIP,low,13,035/066|096/129|089/127|004/006|154/S-P|101/128|092/131,no,todo,todo,todo,todo,,,
H,H|F,P376,P376,巨金怪,钢,2阶进化,180,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,6,209/204|148/204|085/131,no,todo,todo,todo,todo,,,
H,H|F,P465,P465,巨蔓藤,草,1阶进化,150,,,DAMAGE_COUNTERS,low,5,002/204|008/131,no,todo,todo,todo,todo,,,
H,H,Y1398,Y1398,巨钳螳螂ex,钢,1阶进化,270,,POKEMON_EX,ATTACH_ENERGY,medium,3,226/204|148/SV-P|144/204,no,todo,todo,todo,todo,,,
H,H,P839,P839,巨炭山,斗,2阶进化,180,,,ATTACH_ENERGY,low,3,129/204,no,todo,todo,todo,todo,,,
H,H|G,P319,P319,巨牙鲨,水,1阶进化,120,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|DISCARD_ENERGY,high,6,056/204|027/129,no,todo,todo,todo,todo,,,
H,H|F,P905,P905,眷恋云,超,基础,120,,,,low,11,104/204|27 07/07|27 06/07|27 05/07|27 04/07|27 03/07|27 02/07|27 01/07|182/S-P,no,todo,todo,todo,todo,,,
H,H|G|F,P143,P143,卡比兽,无色,基础,160,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,high,18,158/204|046/066|169/151|143/151|109/049|093/177|122/207|113/131|093/127|018/066|010/012|001/023,no,todo,todo,todo,todo,,,
H,H|G,P104,P104,卡拉卡拉,斗,基础,70,,,COIN_FLIP,low,13,099/207|104/151|04 07/07|04 06/07|04 05/07|04 04/07|04 03/07|04 02/07|04 01/07,no,todo,todo,todo,todo,,,
H,H|F,P786,P786,卡璞・蝶蝶,超,基础,110,,,SPECIAL_CONDITION,low,7,089/207|054/131|023/059,no,todo,todo,todo,todo,,,
H,H|G,P0785,P0785,卡璞・鸣鸣ex,雷,基础,200,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SPECIAL_CONDITION,high,4,085/204|154/129|139/129|032/129,no,todo,todo,todo,todo,,,
H,H,P787,P787,卡璞・哞哞,草,基础,140,,,,low,4,222/SV-P|019/207,no,todo,todo,todo,todo,,,
H,H|F,P647,P647,凯路迪欧,水,基础,110,,,,low,12,063/204|154/153|041/207|039/153|038/177|023/131|006/058,no,todo,todo,todo,todo,,,
H,H|G,P127,P127,凯罗斯,草,基础,110,,,COIN_FLIP|ATTACH_ENERGY,medium,16,126/SV-P|004/204|03 07/07|03 06/07|03 05/07|03 04/07|03 03/07|03 02/07|03 01/07|127/151,no,todo,todo,todo,todo,,,
H,H|G,P0063,P0063,凯西,超,基础,40,,,SEARCH_OR_RECOVERY,low,8,073/207|160/151|063/151|059/207,no,todo,todo,todo,todo,,,
H,H|F,P305,P305,可多拉,钢,1阶进化,110,,,COIN_FLIP,low,5,139/207|081/131,no,todo,todo,todo,todo,,,
H,H|F,P304,P304,可可多拉,钢,基础,70,,,,low,5,138/207|080/131,no,todo,todo,todo,todo,,,
H,H|G|F,P128,P128,肯泰罗,无色,基础,120,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|DAMAGE_COUNTERS|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,10,044/066|128/151|031/059|120/207|100/131|002/023,no,todo,todo,todo,todo,,,
H,H,P840,P840,啃果虫,龙,基础,40,,,SELECT_POKEMON|SELECT_CARD|COIN_FLIP|SEARCH_OR_RECOVERY,medium,6,155/207|023/207,no,todo,todo,todo,todo,,,
H,H|G,P227,P227,盔甲鸟,钢,基础,110,,,,low,8,137/207|097/128|023/058,no,todo,todo,todo,todo,,,
H,H|G|F,P131,P131,拉普拉斯,水,基础,130,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,high,17,012/066|131/151|029/128|023/129|132/131|032/207|029/153|006/131|004/058,no,todo,todo,todo,todo,,,
H,H,P1013,P1013,来悲粗茶,草,1阶进化,70,,,DAMAGE_COUNTERS|ATTACH_ENERGY,medium,3,026/207,no,todo,todo,todo,todo,,,
H,H,P643,P643,莱希拉姆,火,基础,130,,,,low,1,009/066,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H,Y1443,Y1443,莱希拉姆ex,火,基础,220,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,high,1,038/207,no,todo,todo,todo,todo,,,
H,H,P159,P159,蓝鳄,水,1阶进化,90,,,SWITCH,low,3,053/204,no,todo,todo,todo,todo,,,
H,H|G,P780,P780,老翁龙,无色,基础,120,,,DAMAGE_COUNTERS,low,9,210/204|172/204|096/129|020/064,no,todo,todo,todo,todo,,,
H,H|G|F,P404,P404,勒克猫,雷,1阶进化,90,,,COIN_FLIP|SPECIAL_CONDITION,medium,12,079/204|061/049|040/128|019/049|062/131|023/127,no,todo,todo,todo,todo,,,
H,H|G,P523,P523,雷电斑马,雷,1阶进化,120,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,6,139/SV-P|047/128,no,todo,todo,todo,todo,,,
H,H|F,P378,P378,雷吉艾斯,水,基础,120,,,SELECT_POKEMON|SELECT_CARD|SEARCH_OR_RECOVERY,medium,6,135/SV-P|034/177|021/066,no,todo,todo,todo,todo,,,
H,H,P256,P256,力壮鸡,火,1阶进化,90,,,,low,3,037/204,no,todo,todo,not_needed,not_needed,,,
H,H|G|F,P447,P447,利欧路,斗,基础,70,,,,low,17,031/066|104/049|078/207|076/128|074/049|074/127|033/049|012/058|073/177|072/128|001/011,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H|G,P318,P318,利牙鱼,水,基础,50,,,,low,6,055/204|026/129,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H|G,P0920,P0920,烈腿蝗,草,1阶进化,110,,,DAMAGE_COUNTERS|SWITCH,medium,7,004/066|094/128|014/128,no,todo,todo,todo,todo,,,
H,H|F,P392,P392,烈焰猴,火,2阶进化,140,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,14,042/204|09 07/07|09 06/07|09 05/07|09 04/07|09 03/07|09 02/07|09 01/07|011/127|004/064,no,todo,todo,todo,todo,,,
H,H|G|F,P078,P078,烈焰马,火,1阶进化,110,,,COIN_FLIP|SWITCH|SPECIAL_CONDITION,medium,11,130/SV-P|008/066|078/151|034/131|019/153|012/207,no,todo,todo,todo,todo,,,
H,H|G,P530,P530,龙头地鼠,斗,1阶进化,130,,,,low,14,228/SV-P|120/204|14 07/07|14 06/07|14 05/07|14 04/07|14 03/07|14 02/07|14 01/07|091/130,no,todo,todo,not_needed,not_needed,,,
H,H|F,P341,P341,龙虾小兵,水,基础,80,,,,low,4,054/207|030/153,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H|G,P0949,P0949,陆地水母,斗,1阶进化,130,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY,high,14,145/SV-P|006/066|131/129|079/128|018/127|009/129,no,todo,todo,todo,todo,,,
H,H|G,Y1199,Y1199,路卡利欧ex,斗,1阶进化,250,,POKEMON_EX,,low,2,032/066|075/127,no,todo,todo,not_needed,todo,,,
H,H,Y1390,Y1390,伦琴猫ex,雷,2阶进化,310,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,high,2,217/204|080/204,no,todo,todo,todo,todo,,,
H,H|F,P407,P407,罗丝雷朵,草,1阶进化,130,,,SPECIAL_CONDITION,low,8,016/204|021/128|009/153|005/207|002/012,no,todo,todo,todo,todo,,,
H,H|G,P529,P529,螺钉地鼠,斗,基础,70,,,SELECT_ENERGY|SELECT_CARD|COIN_FLIP|SEARCH_OR_RECOVERY,medium,7,227/SV-P|119/204|073/130,no,todo,todo,todo,todo,,,
H,H,Y1400,Y1400,洛奇亚ex,无色,基础,220,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY,high,1,163/204,no,todo,todo,todo,todo,,,
H,H,Y1393,Y1393,麻花犬ex,超,1阶进化,250,,POKEMON_EX,ATTACH_ENERGY|SPECIAL_CONDITION,medium,3,240/204|220/204|106/204,no,todo,todo,todo,todo,,,
H,H|G,P183,P183,玛力露,水,基础,70,,,,low,5,013/066|096/052|034/130,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H|G,P184,P184,玛力露丽,水,1阶进化,120,,,COIN_FLIP|SPECIAL_CONDITION,medium,4,014/066|035/130,no,todo,todo,todo,todo,,,
H,H|G|F,P461,P461,玛狃拉,水,1阶进化,100,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|DAMAGE_COUNTERS|ATTACH_ENERGY|SWITCH|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,high,11,053/207|082/130|080/049|042/049|152/S-P|076/127,no,todo,todo,todo,todo,,,
H,H|G|F,P307,P307,玛沙那,斗,基础,70,,,COIN_FLIP,low,14,116/204|106/207|029/066|072/127|065/131|036/131,no,todo,todo,todo,todo,,,
H,H|G|F,P114,P114,蔓藤怪,草,基础,80,,,,low,9,001/204|114/151|089/049|007/131,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H|G,Y398,Y398,猫老大,无色,1阶进化,110,,,SELECT_CARD|COIN_FLIP|SEARCH_OR_RECOVERY,medium,6,163/207|053/151,no,todo,todo,todo,todo,,,
H,H|F,P164,P164,猫头夜鹰,无色,1阶进化,110,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,5,160/204|095/127,no,todo,todo,todo,todo,,,
H,H|G|F,P324,P324,煤炭龟,火,基础,130,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY,high,16,039/204|06 07/07|06 06/07|06 05/07|06 04/07|06 03/07|06 02/07|06 01/07|021/130|058/414|022/153,no,todo,todo,todo,todo,,,
H,H,P809,P809,美录梅塔,钢,1阶进化,160,,,,low,3,150/204,no,todo,todo,not_needed,not_needed,,,
H,H|G,Y1285,Y1285,美录梅塔ex,钢,1阶进化,280,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,3,041/066|093/130|006/024,no,todo,todo,todo,todo,,,
H,H|G,P808,P808,美录坦,钢,基础,80,,,,low,14,149/204|040/066|24 07/07|24 06/07|24 05/07|24 04/07|24 03/07|24 02/07|24 01/07|092/130,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H,Y1446,Y1446,美纳斯ex,水,1阶进化,270,,POKEMON_EX,SPECIAL_CONDITION,medium,3,244/207|217/207|057/207,no,todo,todo,todo,todo,,,
H,H,P742,P742,萌虻,超,基础,30,,,,low,10,102/204|22 07/07|22 06/07|22 05/07|22 04/07|22 03/07|22 02/07|22 01/07,no,todo,todo,todo,todo,,,
H,H,P586,P586,萌芽鹿,草,1阶进化,130,,,SELECT_CARD|SEARCH_OR_RECOVERY,medium,10,025/204|18 07/07|18 06/07|18 05/07|18 04/07|18 03/07|18 02/07|18 01/07,no,todo,todo,todo,todo,,,
H,H|G,P0986,P0986,猛恶菇,恶,基础,120,,ANCIENT,DAMAGE_COUNTERS|SPECIAL_CONDITION,medium,7,142/204|135/128|095/128,no,todo,todo,todo,todo,,,
H,H|F,P391,P391,猛火猴,火,1阶进化,90,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,medium,7,041/204|010/127|003/064,no,todo,todo,todo,todo,,,
H,H,P1021,P1021,猛雷鼓,龙,基础,130,,ANCIENT,ATTACH_ENERGY,medium,3,161/207,no,todo,todo,todo,todo,,,
H,H,P0238,P0238,迷唇娃,超,基础,30,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,3,080/207,no,todo,todo,todo,todo,,,
H,H|G,P0978,P0978,米立龙,龙,基础,70,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SWITCH|SEARCH_OR_RECOVERY,high,15,160/207|098/129|070/052|041/127|024/052|021/064|011/058,no,todo,todo,todo,todo,,,
H,H|G,P1008,P1008,密勒顿,龙,基础,110,,FUTURE,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,8,229/SV-P|153/204|023/066|123/SV-P|057/207|031/SV-P,no,todo,todo,todo,todo,,,
H,H|G,Y1196,Y1196,密勒顿ex,雷,基础,220,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,11,182/SV-P|164/127|154/127|138/127|131/052|050/128|050/127|028/052|016/024|011/SV-P|006/028,no,todo,todo,todo,todo,,,
H,H|F,P684,P684,绵绵泡芙,超,基础,50,,,DAMAGE_COUNTERS,low,5,085/207|049/131,no,todo,todo,todo,todo,,,
H,H|G,Y397,Y397,喵喵,无色,基础,70,,,SELECT_POKEMON|SELECT_CARD|COIN_FLIP|SWITCH,medium,13,162/207|052/151|02 07/07|02 06/07|02 05/07|02 04/07|02 03/07|02 02/07|02 01/07,no,todo,todo,todo,todo,,,
H,H|G,P179,P179,咩利羊,雷,基础,60,,,,low,4,019/066|048/130,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H|G,P0967,P0967,摩托蜥,无色,基础,110,,,COIN_FLIP,low,23,048/066|133/207|132/207|116/052|113/130|112/129|108/128|105/127|097/129|086/052|047/052|006/023|005/023,no,todo,todo,todo,todo,,,
H,H|G|F,P285,P285,蘑蘑菇,草,基础,60,,,COIN_FLIP,low,7,013/204|001/059|018/128,no,todo,todo,todo,todo,,,
H,H|G|F,P122,P122,魔墙人偶,超,基础,90,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|DAMAGE_COUNTERS|ATTACH_ENERGY|SPECIAL_CONDITION,high,9,092/204|122/151|099/049|031/127,no,todo,todo,todo,todo,,,
H,H|G|F,P877,P877,莫鲁贝可,雷,基础,70,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,15,087/204|086/130|14 07/07|14 06/07|14 05/07|14 04/07|14 03/07|14 02/07|14 01/07|042/072,no,todo,todo,todo,todo,,,
H,H|G|F,P116,P116,墨海马,水,基础,60,,,SWITCH,low,11,047/207|116/151|026/128|003/131,no,todo,todo,todo,todo,,,
H,H|G,P546,P546,木棉球,草,基础,60,,,COIN_FLIP,low,6,022/204|055/129,no,todo,todo,todo,todo,,,
H,H|G|F,P722,P722,木木枭,草,基础,70,,,COIN_FLIP,low,8,014/207|006/127|157/S-P|014/153,no,todo,todo,todo,todo,,,
H,H|G,Y1310,Y1310,墓扬犬ex,超,1阶进化,260,,POKEMON_EX,COIN_FLIP,medium,3,028/066|062/129|17 07/07,no,todo,todo,todo,todo,,,
H,H|G,P0971,P0971,墓仔狗,超,基础,80,,,SELECT_POKEMON|SELECT_CARD|COIN_FLIP|SEARCH_OR_RECOVERY,medium,21,027/066|103/SV-P|066/130|061/129|057/129|017/064|16 07/07|16 06/07|16 05/07|16 04/07|16 03/07|16 02/07|16 01/07|003/006,no,todo,todo,todo,todo,,,
H,H|G,P0946,P0946,纳噬草,草,基础,50,,,,low,7,028/204|130/129|009/129,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H,P749,P749,泥驴仔,斗,基础,80,,,,low,3,125/204,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H|F,P623,P623,泥偶巨人,斗,1阶进化,160,,,COIN_FLIP,low,5,122/204|073/131,no,todo,todo,todo,todo,,,
H,H|F,P622,P622,泥偶小人,斗,基础,90,,,COIN_FLIP,low,5,121/204|072/131,no,todo,todo,todo,todo,,,
H,H|G|F,P215,P215,狃拉,水,基础,70,,,,low,10,052/207|081/130|079/049|041/049|075/127,no,todo,todo,todo,todo,,,
H,H,P811,P811,啪咚猴,草,1阶进化,100,,,SELECT_POKEMON|SELECT_CARD|SEARCH_OR_RECOVERY,medium,3,021/207,no,todo,todo,todo,todo,,,
H,H|G,P0988,P0988,爬地翅,斗,基础,140,,ANCIENT,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SPECIAL_CONDITION,high,7,119/207|133/128|082/128,no,todo,todo,todo,todo,,,
H,H|G,P0194,P0194,帕底亚 乌波,恶,基础,60,,,SELECT_POKEMON|SELECT_CARD|COIN_FLIP|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,high,25,05 07/07|05 06/07|05 05/07|05 04/07|05 03/07|05 02/07|05 01/07|107/SV-P|106/049|088/128|084/128|079/129|077/049|038/049|13 05/05|13 04/05|13 03/05|13 02/05|13 01/05,no,todo,todo,todo,todo,,,
